日期,進站人數,離站人數
20180101,43301,45663
20180102,21058,22018
20180103,17533,17777
20180104,17644,17121
20180105,26512,23873
20180106,27317,26659
20180107,28935,31473
20180108,16992,17613
20180109,14895,14810
20180110,16823,16528
20180111,17377,16865
20180112,26530,24713
20180113,31413,30616
20180114,39124,41065
20180115,19876,19910
20180116,17886,18168
20180117,18444,17957
20180118,18956,18367
20180119,29034,27484
20180120,31632,31215
20180121,32012,34085
20180122,21104,20667
20180123,20421,19251
20180124,20989,20293
20180125,21614,21067
20180126,26836,27091
20180127,31280,30510
20180128,34284,35667
20180129,20648,20906
20180130,19638,19381
20180131,20452,19864
20180201,20559,20328
20180202,24888,25174
20180203,26013,26079
20180204,28261,28939
20180205,20438,20451
20180206,20411,20584
20180207,21502,21733
20180208,22128,24048
20180209,28474,27034
20180210,29823,29823
20180211,34911,35025
20180212,24243,24186
20180213,26066,24768
20180214,33197,29350
20180215,29604,25948
20180216,34278,36599
20180217,39199,42775
20180218,48192,51908
20180219,39939,41956
20180220,32857,35702
20180221,23454,24516
20180222,20411,20838
20180223,25894,26117
20180224,31064,32707
20180225,38999,41114
20180226,20228,20574
20180227,22877,22278
20180228,30096,30197
20180301,18857,18500
20180302,30103,25972
20180303,32580,33003
20180304,36171,40406
20180305,19993,20345
20180306,18162,17910
20180307,18530,18264
20180308,18001,17259
20180309,30362,27591
20180310,38278,37974
20180311,45096,47746
20180312,20658,21074
20180313,18520,18041
20180314,18858,18353
20180315,18746,18362
20180316,30152,27339
20180317,34405,35130
20180318,45294,47206
20180319,20514,20420
20180320,16880,16591
20180321,18152,17729
20180322,18867,18165
20180323,29386,27387
20180324,32733,32868
20180325,36990,38849
20180326,19961,20076
20180327,17830,17907
20180328,18766,18424
20180329,18757,18134
20180330,22965,22218
20180331,27074,26468
20180401,32571,33900
20180402,22439,22099
20180403,33214,28173
20180404,40802,36942
20180405,33284,34025
20180406,39159,41430
20180407,36837,38284
20180408,37747,43369
20180409,20208,21052
20180410,18255,17844
20180411,18386,18025
20180412,18295,17867
20180413,28774,26182
20180414,34460,36592
20180415,44314,44987
20180416,19989,20124
20180417,17685,17398
20180418,18398,18005
20180419,19002,18560
20180420,28168,27326
