日期,進站人數,離站人數
20180101,92240,72909
20180102,59275,62271
20180103,55203,56412
20180104,56380,56249
20180105,65561,63962
20180106,58913,56363
20180107,52016,52697
20180108,53052,54207
20180109,50835,50853
20180110,54726,54663
20180111,55151,54544
20180112,66352,64444
20180113,63101,59902
20180114,59912,60887
20180115,57679,58583
20180116,56590,56885
20180117,55804,55788
20180118,56209,56327
20180119,66443,64967
20180120,62032,59022
20180121,44062,41304
20180122,59754,59423
20180123,58147,58112
20180124,57514,59549
20180125,61807,62165
20180126,72339,71522
20180127,70920,69241
20180128,64909,64164
20180129,61827,61621
20180130,56684,56716
20180131,57593,57422
20180201,57940,58685
20180202,66336,66251
20180203,57757,54747
20180204,54125,53773
20180205,58557,57417
20180206,61779,60877
20180207,60911,61543
20180208,62028,61829
20180209,68635,67514
20180210,60913,59162
20180211,58645,55081
20180212,65113,61766
20180213,65929,60027
20180214,70640,57626
20180215,45512,30971
20180216,56621,52226
20180217,64771,62509
20180218,73863,79488
20180219,67084,76100
20180220,56621,66913
20180221,56738,61613
20180222,56078,57542
20180223,65353,65075
20180224,65825,65321
20180225,61642,61734
20180226,57494,57479
20180227,62143,61427
20180228,53840,52842
20180301,44757,51017
20180302,71557,65699
20180303,62727,63933
20180304,64099,64855
20180305,56540,56899
20180306,54194,54038
20180307,56593,56497
20180308,54177,54451
20180309,69969,67351
20180310,71200,67598
20180311,68177,70564
20180312,59041,59709
20180313,56450,56336
20180314,57475,57331
20180315,58060,57589
20180316,71494,68314
20180317,69466,67420
20180318,69264,71142
20180319,59565,60936
20180320,53764,53619
20180321,55528,55100
20180322,57846,57004
20180323,72317,68728
20180324,71138,66897
20180325,64489,67444
20180326,58983,59807
20180327,56732,56292
20180328,58107,57327
20180329,57468,57084
20180330,65682,60628
20180331,66281,62790
20180401,62926,59932
20180402,61456,58443
20180403,74713,67398
20180404,79841,65858
20180405,68944,65386
20180406,67221,71648
20180407,62506,71692
20180408,66164,76102
20180409,56990,59483
20180410,54945,54413
20180411,55944,56168
20180412,54759,54353
20180413,68757,64880
20180414,66705,63750
20180415,60654,62177
20180416,57266,56765
20180417,53392,53255
20180418,55997,55039
20180419,58134,56833
20180420,68989,67352
20180421,71191,66922
20180422,66740,68930
20180423,56472,57425
20180424,52504,52378
20180425,55135,55116
20180426,58383,57476
20180427,72108,67205
20180428,72621,65957
20180429,66854,68154
20180430,61093,62303
20180501,54515,55588
20180502,55269,55051
20180503,55062,55168
20180504,71292,68915
20180505,69127,64634
20180506,64920,67379
20180507,58348,60009
20180508,53337,53541
20180509,53606,54465
20180510,56289,55748
20180511,73469,67213
20180512,68868,61560
20180513,62009,68491
20180514,57196,59393
20180515,53918,53775
20180516,55542,54441
20180517,55178,55551
20180518,70208,67049
20180519,69878,65621
20180520,65078,67509
20180521,57680,58698
20180522,54544,54383
20180523,53744,54182
20180524,56509,56440
20180525,71376,68190
20180526,75493,71062
20180527,67148,69570
20180528,59088,59470
20180529,54159,53337
20180530,53814,53416
20180531,54298,52953
20180601,68970,64358
20180602,65198,60311
20180603,59852,63489
20180604,56877,56750
20180605,54643,53615
20180606,54497,53877
20180607,56037,54614
20180608,69611,65727
20180609,70814,67118
20180610,62386,64267
20180611,56764,57540
20180612,56710,56403
20180613,55724,54973
20180614,57001,55122
20180615,72191,66150
20180616,69661,59771
20180617,69098,69076
20180618,48929,59350
20180619,57738,61369
20180620,56964,57288
20180621,57200,57206
20180622,66678,64922
20180623,64213,61350
20180624,59311,60291
20180625,56843,57964
20180626,55589,55681
20180627,55455,55508
20180628,54307,55687
20180629,67545,66280
20180630,66172,61279
20180701,61219,62636
20180702,61288,62437
20180703,59613,59760
20180704,59757,59823
20180705,59722,59595
20180706,69473,67585
20180707,68443,64991
20180708,62711,65620
20180709,61665,63059
20180710,42939,43359
20180711,26550,26348
20180712,60687,59284
20180713,70110,65853
20180714,66656,63473
20180715,66264,68335
20180716,60603,62795
20180717,58404,59294
20180718,59195,60009
20180719,58105,58819
20180720,67691,66011
20180721,64014,61664
20180722,61292,65306
20180723,58059,59847
20180724,56201,57633
20180725,58020,58272
20180726,58902,58857
20180727,69170,67675
20180728,71353,68815
20180729,65232,66328
20180730,59419,61353
20180731,57234,57862
20180801,58219,56935
20180802,59346,57713
20180803,70171,66447
20180804,67511,63425
20180805,63883,67111
20180806,61665,62140
20180807,59546,59695
20180808,57810,56974
20180809,61797,60697
20180810,71844,69066
20180811,72100,68123
20180812,69455,70365
20180813,63496,63941
20180814,59507,60595
20180815,61384,61450
20180816,64271,63351
20180817,73720,70544
20180818,73053,68452
20180819,68151,69067
20180820,62795,64416
20180821,60554,60727
20180822,61583,60399
20180823,60552,59055
20180824,67859,62809
20180825,59950,55879
20180826,63191,66529
20180827,61805,62876
20180828,57935,59544
20180829,56056,56045
20180830,52678,52440
20180831,63549,61020
20180901,63447,59305
20180902,58737,59147
20180903,59016,58783
20180904,54258,53579
20180905,51734,50871
20180906,51796,51513
20180907,65200,62172
20180908,63364,59311
20180909,51173,56210
20180910,52464,53341
20180911,52392,52630
20180912,53663,53260
20180913,54926,54067
20180914,65298,61734
20180915,59321,56040
20180916,59013,61390
20180917,54244,54461
20180918,51573,51095
20180919,52329,50985
20180920,54168,52739
20180921,78241,67229
20180922,74355,58605
20180923,63331,62195
20180924,54184,68505
20180925,56159,60248
20180926,51963,52767
20180927,52555,51985
20180928,63758,59658
20180929,60025,55134
20180930,63776,65331
20181001,56085,54821
20181002,54707,52481
20181003,56130,54068
20181004,54447,53677
20181005,70053,66059
20181006,69059,66878
20181007,63866,67032
20181008,55429,56157
20181009,56384,56272
20181010,54263,52576
20181011,52602,53724
20181012,67818,62215
20181013,65096,61199
20181014,65168,68838
20181015,55061,56380
20181016,52479,51722
20181017,50940,50949
20181018,54015,53707
20181019,68975,63577
20181020,71174,66345
20181021,64451,65938
20181022,52115,53174
20181023,49684,49330
20181024,51242,50218
20181025,53644,51847
20181026,67411,63566
20181027,69639,64564
20181028,64412,66379
20181029,55483,56544
20181030,50708,50778
20181031,48693,49086
20181101,49172,49826
20181102,62363,59466
20181103,60099,56724
20181104,56674,59605
20181105,52637,55257
20181106,51922,52587
20181107,52248,53720
20181108,53616,54553
20181109,66635,65465
20181110,67779,64832
20181111,66419,68498
20181112,55136,57944
20181113,52526,53059
20181114,52217,54027
20181115,55771,55814
20181116,68659,66937
20181117,67501,63959
20181118,71421,73738
20181119,54138,56644
20181120,51844,53657
20181121,55700,55076
20181122,59427,59685
20181123,76169,66573
20181124,59526,56138
20181125,64292,70774
20181126,55432,57701
20181127,53375,53242
20181128,52689,52413
20181129,55518,54420
20181130,70622,65896
20181201,70107,68244
20181202,66370,68330
20181203,56946,56829
20181204,54240,53042
20181205,53421,52454
20181206,55301,55104
20181207,59158,57189
20181208,70253,69036
20181209,62106,64589
20181210,61185,62382
20181211,54655,53524
20181212,54291,53435
20181213,55384,54739
20181214,70812,67504
20181215,73359,73729
20181216,70791,70448
20181217,58677,58109
20181218,55423,54701
20181219,56769,56088
20181220,57497,56796
20181221,65056,61724
20181222,64430,64083
20181223,65203,63194
20181224,57371,57833
20181225,57041,56822
20181226,58284,55701
20181227,58926,56771
20181228,72686,67389
20181229,72286,63871
20181230,69287,66975
20181231,56393,83454
20190101,79196,64332
20190102,55227,57516
20190103,50992,51356
20190104,64002,60860
20190105,56596,55605
20190106,47894,49065
20190107,53964,54191
20190108,52461,51828
20190109,52543,52424
20190110,55174,54126
20190111,65412,64270
20190112,62581,59961
20190113,60786,60586
20190114,58632,57895
20190115,56633,56056
20190116,53746,53748
20190117,55229,54427
20190118,64279,63400
20190119,69091,65829
20190120,62824,61271
20190121,60361,59178
20190122,59346,57882
20190123,62367,59871
20190124,62247,61085
20190125,70830,70362
20190126,67184,65126
20190127,65158,65067
20190128,66112,64107
20190129,61939,59802
20190130,62801,59620
20190131,63901,59469
20190201,67154,62116
20190202,58549,48259
20190203,53525,42467
20190204,39574,31300
20190205,55732,52393
20190206,65682,63616
20190207,73306,75588
20190208,64848,72185
20190209,60028,70005
20190210,55307,62669
20190211,55186,59980
20190212,58617,58389
20190213,58711,59705
20190214,60128,62484
20190215,67443,70720
20190216,72952,72166
20190217,69906,69540
20190218,58685,57548
20190219,57701,56539
20190220,57248,58131
20190221,56568,57370
20190222,60724,59843
20190223,62490,63018
20190224,54333,54537
20190225,55071,55533
20190226,56353,55702
20190227,71507,67321
20190228,75986,66292
20190301,72870,106591
20190302,52070,75156
20190303,57173,65295
20190304,55403,56654
20190305,54363,52138
20190306,53393,52123
20190307,52480,52114
20190308,64509,63007
20190309,60412,56977
20190310,57101,58343
20190311,57531,57261
20190312,56611,55912
20190313,53656,53323
20190314,55129,55946
20190315,68998,66228
20190316,70592,68224
20190317,65640,67777
20190318,57895,58427
20190319,55598,55601
20190320,56329,55864
20190321,57051,56795
20190322,68988,65940
20190323,64943,61221
20190324,58760,61735
20190325,54298,56331
20190326,56633,55352
20190327,56018,55722
20190328,56919,56422
20190329,68200,64962
20190330,65720,61326
20190331,59220,59995
20190401,55426,53175
20190402,48199,55389
20190403,70637,64361
20190404,75473,63097
20190405,59073,59658
20190406,66598,74296
20190407,62747,71688
20190408,56971,60727
20190409,54662,54434
20190410,54259,54530
20190411,54362,54687
20190412,65455,64373
20190413,65526,63250
20190414,63169,64579
20190415,58047,57984
20190416,52847,52969
20190417,57914,57559
20190418,58460,58850
20190419,68080,67408
20190420,65972,62873
20190421,62333,64238
20190422,54914,56472
20190423,55931,53907
20190424,55970,54862
20190425,58423,56040
20190426,72291,66856
20190427,70919,66148
20190428,66311,70237
20190429,60388,59834
20190430,59116,56244
20190501,48532,47212
20190502,56712,55088
20190503,73865,69545
20190504,69612,66786
20190505,65276,69074
20190506,54959,57194
20190507,52338,43255
20190508,53330,52833
20190509,54014,52734
20190510,73105,66454
20190511,69283,62096
20190512,59517,68204
20190513,58070,57706
20190514,55281,54225
20190515,55847,56021
20190516,56453,56123
20190517,67141,64733
20190518,70440,66048
20190519,65262,69443
20190520,55312,55327
20190521,55260,54511
20190522,55077,55001
20190523,55924,55860
20190524,73230,68300
20190525,74101,69427
20190526,64945,69029
20190527,56403,57178
20190528,50868,50559
20190529,55542,53822
20190530,56864,55530
20190531,69096,65439
20190601,76403,70914
20190602,60846,63019
20190603,57348,57860
20190604,56616,55266
20190605,60618,58264
20190606,76504,65742
20190607,69198,56368
20190608,65131,68930
20190609,69629,83704
20190610,59947,63618
20190611,53351,53627
20190612,56116,55535
20190613,55750,55553
20190614,67958,64997
20190615,70906,66472
20190616,69436,70385
20190617,60752,61198
20190618,57765,56601
20190619,58489,57177
20190620,60126,58900
20190621,71651,68923
20190622,67738,64392
20190623,60582,64881
20190624,60104,59993
20190625,60432,59579
20190626,60025,59383
20190627,59433,60223
20190628,74396,70200
20190629,69901,64447
20190630,62359,67048
20190701,63139,64546
20190702,56724,58324
20190703,58782,58372
20190704,61757,61061
20190705,74677,69473
20190706,68076,65742
20190707,63804,68800
20190708,65522,67053
20190709,62041,62629
20190710,63363,62930
20190711,64907,63534
20190712,75955,71014
20190713,72303,68049
20190714,66880,71864
20190715,64659,66930
20190716,64720,63867
20190717,62432,62808
20190718,58980,58622
20190719,72008,68824
20190720,68384,64175
20190721,66465,71553
20190722,61766,65757
20190723,61963,61704
20190724,62598,61761
20190725,64620,63606
20190726,75223,72829
20190727,74135,69781
20190728,68651,72000
20190729,67498,68324
20190730,62472,62893
20190731,62371,64314
20190801,65243,63844
20190802,75946,72605
20190803,72950,70345
20190804,66060,70667
20190805,66488,67131
20190806,64193,63886
20190807,63815,64706
20190808,58457,55454
20190809,43905,37696
20190810,69006,64941
20190811,69743,75923
20190812,68898,69914
20190813,66589,67855
20190814,66882,66047
20190815,63753,62688
20190816,78489,74839
20190817,71978,70199
20190818,70099,75608
20190819,65789,67236
20190820,65450,65151
20190821,64863,64893
20190822,64939,64791
20190823,78211,73667
20190824,60480,58066
20190825,63907,70258
20190826,66296,69080
20190827,65221,66677
20190828,60961,64591
20190829,61664,60094
20190830,68957,64558
20190831,68739,64085
20190901,62846,67674
20190902,58111,61353
20190903,58367,57813
20190904,57223,58446
20190905,59255,58119
20190906,73461,69444
20190907,69176,64230
20190908,62849,71048
20190909,60622,60360
20190910,58619,57285
20190911,61521,59405
20190912,83751,71327
20190913,74522,59379
20190914,61138,66114
20190915,60809,81468
20190916,60328,64998
20190917,54498,57209
20190918,57368,57078
20190919,60031,58665
20190920,74109,68730
20190921,62208,58496
20190922,63276,68998
20190923,60343,60957
20190924,58097,57082
20190925,59606,58742
20190926,59813,58514
20190927,75844,68457
20190928,67931,61863
20190929,59754,67758
20190930,25874,30234
20191001,57200,56902
20191002,59213,57360
20191003,61024,60318
20191004,71303,66980
20191005,66461,66089
20191006,62855,66269
20191007,59995,60349
20191008,57276,58403
20191009,79979,72503
20191010,87047,73210
20191011,83936,78638
20191012,73293,81514
20191013,69961,84363
20191014,60989,63417
20191015,57331,57077
20191016,58008,57359
20191017,59525,59066
20191018,74964,68963
20191019,69414,65938
20191020,66297,71198
20191021,60080,61203
20191022,57308,58255
20191023,58892,58330
20191024,61264,60518
20191025,76641,71534
20191026,74001,69720
20191027,67513,71455
20191028,60374,62088
20191029,56216,56022
20191030,55819,56253
20191031,56913,55844
20191101,75616,67740
20191102,67628,65277
20191103,57683,65638
20191104,59416,61210
20191105,57547,56640
20191106,56761,58068
20191107,60769,59346
20191108,76372,71116
20191109,73727,67411
20191110,69348,73795
20191111,62609,64843
20191112,59831,59026
20191113,58869,58289
20191114,60697,59725
20191115,77361,72564
20191116,74561,71267
20191117,71522,76778
20191118,60627,63169
20191119,57802,57416
20191120,58349,57871
20191121,58365,59187
20191122,75308,69850
20191123,72002,66541
20191124,67133,72313
20191125,61327,63289
20191126,59032,58290
20191127,60202,59067
20191128,59892,59154
20191129,75467,71554
20191130,71957,68896
20191201,66466,70017
20191202,58842,61439
20191203,57821,57646
20191204,57724,56783
20191205,57799,56230
20191206,71105,67805
20191207,65705,64190
20191208,68377,72437
20191209,62332,63450
20191210,59889,59677
20191211,58602,58453
20191212,60466,59427
20191213,75232,74555
20191214,75976,76003
20191215,76196,78020
20191216,65695,64618
20191217,61043,60451
20191218,59606,59517
20191219,55970,52962
20191220,71672,71320
20191221,67450,66414
20191222,66428,70167
20191223,63297,63075
20191224,60723,60882
20191225,62482,61573
20191226,61429,60484
20191227,75194,69956
20191228,68874,66660
20191229,58608,62142
20191230,62141,63451
20191231,65900,82392
20200101,74444,57279
20200102,60656,60765
20200103,67692,65289
20200104,59475,58244
20200105,57014,59480
20200106,58573,58234
20200107,57128,56398
20200108,57239,56452
20200109,69466,67960
20200110,82586,71146
20200111,63942,59520
20200112,58723,68177
20200113,62437,62529
20200114,60036,59349
20200115,57218,53385
20200116,62129,62608
20200117,68363,66080
20200118,61584,62163
20200119,58644,60469
20200120,66295,63848
20200121,67240,62643
20200122,71853,62696
20200123,59488,42593
20200124,46607,32457
20200125,56570,52365
20200126,55498,54743
20200127,57837,63874
20200128,53455,65609
20200129,47482,60188
20200130,54856,61889
20200131,60054,63190
20200201,54509,55151
20200202,50780,52375
20200203,57079,57580
20200204,53481,51863
20200205,52435,52550
20200206,55065,55532
20200207,61420,59394
20200208,50767,46234
20200209,45142,48878
20200210,53644,53560
20200211,51127,50568
20200212,52466,52263
20200213,51404,51561
20200214,57200,56847
20200215,52374,50926
20200216,43981,45179
20200217,50087,50061
20200218,49822,49312
20200219,51803,50331
20200220,50218,50592
20200221,59592,56376
20200222,46950,44343
20200223,43481,46885
20200224,50803,51403
20200225,48673,48015
20200226,49020,47705
20200227,62487,55014
20200228,54395,43354
20200229,40006,42224
20200301,39180,54050
20200302,45841,48212
20200303,44327,44116
20200304,43759,43297
20200305,44479,43593
20200306,58123,52917
20200307,43531,39504
20200308,38118,42903
20200309,46809,47336
20200310,43712,43285
20200311,46471,45595
20200312,46018,44833
