日期,進站人數,離站人數
20180101,30128,23949
20180102,16616,15908
20180103,14127,14246
20180104,14359,14379
20180105,17405,18870
20180106,18817,18567
20180107,20454,19465
20180108,14923,14630
20180109,13290,13389
20180110,13247,13474
20180111,13975,14081
20180112,18730,19743
20180113,20406,20054
20180114,21750,20520
20180115,15045,15582
20180116,14823,14930
20180117,14463,14756
20180118,14806,15132
20180119,19734,20540
20180120,22016,21856
20180121,19613,19101
20180122,16288,16326
20180123,15617,15489
20180124,15767,15664
20180125,16672,17003
20180126,19718,20854
20180127,21137,20844
20180128,22789,22713
20180129,17464,17390
20180130,16462,16358
20180131,16812,16771
20180201,16595,16419
20180202,18950,20004
20180203,19748,19649
20180204,20369,19198
20180205,16754,16585
20180206,16795,16717
20180207,17224,17924
20180208,17347,17542
20180209,19957,20639
20180210,19881,19871
20180211,19918,19014
20180212,18280,18189
20180213,19195,18868
20180214,22475,21467
20180215,16957,13442
20180216,20909,21250
20180217,25728,26111
20180218,31034,32442
20180219,26729,28713
20180220,22355,23131
20180221,18440,18269
20180222,16599,16467
20180223,19250,20193
20180224,21747,21740
20180225,24721,22880
20180226,16621,16886
20180227,17360,18285
20180228,22548,20582
20180301,15505,15043
20180302,20305,21620
20180303,22801,22057
20180304,24557,22830
20180305,16190,15854
20180306,14979,14900
20180307,15514,15244
20180308,15126,15207
20180309,20182,21848
20180310,22715,22516
20180311,24594,23754
20180312,16529,16251
20180313,14881,14903
20180314,15107,15240
20180315,14407,15203
20180316,21018,22179
20180317,23614,23272
20180318,26766,25037
20180319,16509,16257
20180320,14835,14762
20180321,14619,14604
20180322,15152,15447
20180323,20726,22737
20180324,22189,22491
20180325,25490,22893
20180326,16612,15919
20180327,14798,14933
20180328,14168,12147
20180329,15023,15313
20180330,16995,18347
20180331,18681,19590
20180401,20978,21308
20180402,16726,17436
20180403,22476,22854
20180404,28251,25951
20180405,23740,24138
20180406,28142,29148
20180407,26248,26041
20180408,25569,24694
20180409,17106,16654
20180410,14784,14958
20180411,15176,15198
20180412,14901,15375
20180413,19844,21198
20180414,22085,21992
20180415,23616,22380
20180416,16051,15864
20180417,14337,14644
20180418,14895,14883
20180419,15123,15451
20180420,20277,21241
20180421,21443,21061
20180422,22537,21632
20180423,16280,15781
20180424,14681,14831
20180425,14409,14879
20180426,15462,15950
20180427,21774,23068
20180428,22723,23108
20180429,24896,22259
20180430,17119,16849
20180501,16175,16333
20180502,14269,14788
20180503,14636,15154
20180504,20354,21663
20180505,21481,21466
20180506,23373,22629
20180507,16354,16007
20180508,13936,13865
20180509,13805,14027
20180510,15191,15788
20180511,22089,23221
20180512,22436,21942
20180513,24259,23327
20180514,16764,16557
20180515,14441,14662
20180516,15370,15069
20180517,15006,15833
20180518,20471,21880
20180519,21958,21127
20180520,23751,22944
20180521,16045,15695
20180522,14534,14881
20180523,14379,14508
20180524,15008,15293
20180525,20246,21659
20180526,22588,23136
20180527,24255,22090
20180528,15902,15448
20180529,14115,13893
20180530,14206,14460
20180531,14451,15048
20180601,19937,21518
20180602,20871,20413
20180603,22650,21541
20180604,15537,15493
20180605,14318,14113
20180606,14368,14326
20180607,14611,15123
20180608,20073,21414
20180609,22443,22691
20180610,23550,22326
20180611,16112,15600
20180612,15362,15415
20180613,15120,15345
20180614,14209,14797
20180615,20529,21841
20180616,22956,22274
20180617,22146,20553
20180618,19511,19239
20180619,15203,15187
20180620,13461,13265
20180621,14230,14500
20180622,19122,20639
20180623,19948,19511
20180624,21179,20095
20180625,16557,16254
20180626,15131,15023
20180627,15301,15488
20180628,15880,16048
20180629,20908,21030
20180630,20976,20953
20180701,21937,21610
20180702,15626,15504
20180703,14944,15027
20180704,14679,14929
20180705,16082,16135
20180706,19936,20405
20180707,21147,21055
20180708,22785,22274
20180709,18459,18562
20180710,15667,16308
20180711,14186,13733
20180712,17058,16791
20180713,20909,21073
20180714,22200,22694
20180715,24735,23768
20180716,18206,18049
20180717,16990,17080
20180718,17041,17335
