日期,進站人數,離站人數
20180101,9161,10115
20180102,7851,7553
20180103,7298,6747
20180104,7643,7189
20180105,7818,7536
20180106,6532,6944
20180107,5559,5313
20180108,6239,6049
20180109,6778,6626
20180110,7249,6563
20180111,6897,6522
20180112,8670,8305
20180113,8077,7613
20180114,7865,7397
20180115,7267,6878
20180116,7773,7088
20180117,7213,6506
20180118,6903,6256
20180119,8319,7869
20180120,7189,7177
20180121,3848,3609
20180122,7216,6784
20180123,7461,7129
20180124,7132,6729
20180125,7367,6658
20180126,8187,7593
20180127,8174,7922
20180128,7189,6837
20180129,6744,6312
20180130,6811,6434
20180131,6708,6432
20180201,6867,6279
20180202,7736,7082
20180203,5622,5579
20180204,5701,5449
20180205,6083,5777
20180206,6772,6456
20180207,6707,6310
20180208,7048,6742
20180209,8190,7504
20180210,6550,6512
20180211,6466,6278
20180212,7805,7286
20180213,8002,7595
20180214,7465,7587
20180215,4549,5461
20180216,10279,9333
20180217,10994,10573
20180218,13916,12784
20180219,12215,11903
20180220,9014,8421
20180221,7056,7642
20180222,6767,6882
20180223,8524,8367
20180224,8832,8419
20180225,6878,6931
20180226,7367,7081
20180227,8849,8390
20180228,6787,6572
20180301,7083,6025
20180302,8544,8196
20180303,8342,7338
20180304,8191,7961
20180305,7204,6633
20180306,7119,6659
20180307,7454,6865
20180308,6848,6446
20180309,8518,7941
20180310,9032,8880
20180311,8426,8259
20180312,7657,7307
20180313,7591,7236
20180314,7579,7078
20180315,7412,6896
20180316,8554,8178
20180317,8026,7788
20180318,8769,8292
20180319,7394,7070
20180320,7298,6706
20180321,6958,6711
20180322,7134,6858
20180323,8929,8315
20180324,8950,8829
20180325,8577,8156
20180326,7364,7307
20180327,7573,7017
20180328,7725,7235
20180329,7526,7095
20180330,8527,7633
20180331,8862,8161
20180401,8842,7879
20180402,7876,7579
20180403,9020,8700
20180404,13167,13052
20180405,12690,11697
20180406,10755,10002
20180407,9656,9631
20180408,11535,11584
20180409,7451,7344
20180410,7240,6746
20180411,8594,7340
20180412,7254,6810
20180413,9039,8192
20180414,7924,7672
20180415,7199,7034
20180416,7172,6951
20180417,7161,7127
20180418,7459,7099
20180419,7470,6986
20180420,8987,8682
20180421,10535,10627
20180422,9017,8224
20180423,7404,6930
20180424,7521,6882
20180425,7366,6744
20180426,7486,7048
20180427,9206,8561
20180428,9777,9388
20180429,8930,8454
20180430,7630,7477
20180501,8743,7984
20180502,7592,7134
20180503,7160,6845
20180504,9123,8181
20180505,9302,9141
20180506,8414,7982
20180507,7443,7202
20180508,7555,7069
20180509,7316,6796
20180510,7572,7076
20180511,9267,8753
20180512,9968,10005
20180513,8861,8108
20180514,7746,7484
20180515,8080,7000
20180516,7586,7232
20180517,7426,7172
20180518,9074,8676
20180519,9608,9340
20180520,8878,8304
20180521,7490,6860
20180522,8301,7457
20180523,7062,6650
20180524,7328,7006
20180525,9240,8704
20180526,9703,9732
20180527,8486,8093
20180528,7391,6987
20180529,6935,6475
20180530,7845,7186
20180531,7207,6739
20180601,8882,7850
20180602,8388,8521
20180603,8014,7909
20180604,7079,6906
20180605,7552,7345
20180606,7258,6649
20180607,6982,6743
20180608,8981,8212
20180609,9752,9702
20180610,8137,7808
20180611,7066,6608
20180612,8294,7885
20180613,7207,6787
20180614,6677,6351
20180615,8217,8066
20180616,8665,8894
20180617,8747,8856
20180618,7079,6647
20180619,7653,7731
20180620,7428,7588
20180621,7077,6874
20180622,8029,8073
20180623,10100,9735
20180624,7755,7656
20180625,6788,7050
20180626,6859,6645
20180627,7161,7086
20180628,6990,6579
20180629,8730,9190
20180630,8845,9608
20180701,8085,7962
20180702,7368,7055
20180703,8008,7729
20180704,7579,7479
20180705,7745,7207
20180706,8599,8113
20180707,9208,8845
20180708,8496,8146
20180709,7968,7547
20180710,5116,5667
20180711,3067,3305
20180712,8377,8506
20180713,9241,9389
20180714,8710,9090
20180715,9354,8972
20180716,7580,7460
20180717,7632,7482
20180718,8161,8005
20180719,7181,7117
20180720,8597,8435
20180721,7641,8064
20180722,8527,8747
20180723,7164,7081
20180724,7451,7149
20180725,8437,8043
20180726,7542,7155
20180727,8468,8243
20180728,8872,9142
20180729,8948,8945
20180730,7732,7429
20180731,7421,7221
20180801,8231,7935
20180802,7427,6970
20180803,8138,8054
20180804,9472,10146
20180805,9644,9115
20180806,7739,7358
20180807,7672,7110
20180808,8495,8102
20180809,8246,7509
20180810,8981,8699
20180811,9333,9385
20180812,8910,8365
20180813,8234,7771
20180814,7431,6698
20180815,8358,8098
20180816,7921,7532
20180817,8884,8626
20180818,8348,8650
20180819,9140,8447
20180820,7924,7508
20180821,8032,7366
20180822,8716,8263
20180823,7581,7035
20180824,10985,11002
20180825,8070,7659
20180826,9282,8513
20180827,7697,7128
20180828,7831,7361
20180829,7803,7308
20180830,7034,6878
20180831,8339,7983
20180901,8407,8632
20180902,8554,8111
20180903,7952,7424
20180904,7427,6988
20180905,7859,7251
20180906,7254,6862
20180907,8727,8333
